1,高中交流,"834,624","516,360"
2,聚焦中考,"375,753","78,902"
3,聚焦高考,"323,185","87,195"
4,聚焦小升初,"167,648","38,026"
5,小学交流,"148,597","48,415"
6,初中交流,"133,879","41,494"
7,我爱美食,"75,073","29,528"
8,华师一附中,"72,366","19,673"
9,亲子活动,"65,457","17,665"
10,留学申请,"61,021","17,634"
11,情感交流,"54,246","16,868"
12,江城生活,"52,020","15,315"
13,亲子悦读,"49,213","20,335"
14,武汉外校高中,"47,055","17,529"
15,团购代购,"41,498","13,713"
16,资深会员,"40,733","3,770"
17,旅游户外,"36,416","9,767"
18,艺考在线,"31,515","10,379"
19,幼升小交流,"31,116","12,740"
20,学前教育,"28,906","12,972"
21,靓妈时尚,"26,384","11,794"
22,家庭理财,"24,372","8,793"
23,留学集市,"21,727","7,286"
24,拉图尔自然生活,"20,780","3,656"
25,武汉二中,"20,574","7,232"
26,健康之家,"20,395","8,447"
27,高中校版,"19,446","13,037"
28,大学交流,"19,354","9,775"
29,教育杂谈,"19,315","7,735"
30,艺体特长,"19,220","7,210"
31,武钢三中,"17,866","7,276"
32,跳蚤市场,"17,499","6,526"
33,活动荟萃,"17,401","8,336"
34,影视娱乐,"13,011","9,037"
35,外校初中,"12,728","4,311"
36,摄友沙龙,"11,640","3,986"
37,育才高中,"10,771","4,140"
38,初中数学,"10,489","2,792"
39,初中语文,"10,448","3,041"
40,省实验中学,"10,386","4,655"
41,欢乐秀场,"9,905","4,109"
42,武汉一中,"9,885","3,496"
43,武汉三中,"9,364","4,048"
44,http://www.jz100.com/forum.php?mod=forumdisplay&fid=968,"9,135","1,143"
45,高中论坛,"8,772","4,308"
46,购物逛街,"8,452","5,285"
47,读书生活,"8,344","1,978"
48,武汉六高中,"8,192","5,159"
49,初中英语,"8,002","2,613"
50,七一中学,"7,784","2,793"
51,初中校版,"7,655","5,534"
52,外语考试,"7,500","2,688"
53,水果湖高中,"7,459","3,172"
54,网务中心,"7,218","2,996"
55,车友100,"7,045","3,802"
56,http://www.jz100.com/forum.php?mod=forumdisplay&fid=722,"6,714","2,862"
57,武汉二初中,"6,281","2,892"
58,新手指南,"6,234","2,142"
59,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1065,"6,107",787
60,小学语文,"5,988","2,682"
61,高校视野,"5,759","2,987"
62,武汉中学,"5,388","1,989"
63,水果湖二中,"5,367","1,989"
64,江城楼市,"5,348","2,149"
65,休闲运动,"5,172","2,463"
66,高中英语,"5,143","2,586"
67,初中论坛,"5,030","3,169"
68,武汉三初中,"4,921","2,144"
69,武钢实验学校,"4,760","2,876"
70,孕婴话题,"4,474","2,711"
71,武珞路中学,"4,067","1,492"
72,http://www.jz100.com/forum.php?mod=forumdisplay&fid=967,"3,993",609
73,华一寄宿,"3,970","1,564"
74,孝感高中,"3,870","1,452"
75,武汉外小,"3,824","1,481"
76,家装家电,"3,700","1,499"
77,高中理综,"3,670","1,363"
78,小学论坛,"3,625","2,223"
79,高中数学,"3,619","1,099"
80,小学数学,"3,476","1,399"
81,初中学业,"3,437","2,464"
82,http://www.jz100.com/forum.php?mod=forumdisplay&fid=750,"3,370","1,640"
83,钟家村小学,"3,236","1,257"
84,洪山高中,"3,098","1,101"
85,拜年啦,"2,963",789
86,小学英语,"2,956",857
87,人在职场,"2,870","1,272"
88,高中武汉十九中,"2,796","1,118"
89,购物交流,"2,733","1,175"
90,武汉小学,"2,701",710
91,http://www.jz100.com/forum.php?mod=forumdisplay&fid=739,"2,464","1,167"
92,http://www.jz100.com/forum.php?mod=forumdisplay&fid=921,"2,306",586
93,开发区一高,"2,290","1,066"
94,英之语教研中心,"2,245",858
95,小学校版1,"2,232","1,695"
96,高中语文,"2,159",956
97,聊天灌水,"2,081","1,401"
98,武汉六初中,"2,029",739
99,超版交流,"1,999",291
100,枫叶国际学校,"1,792",999
101,华师一初中,"1,749",757
102,高中学业,"1,646","1,236"
103,高中文综,"1,630",694
104,光谷一中,"1,626",162
105,初中物理,"1,578",718
106,实验小学,"1,544",586
107,http://www.jz100.com/forum.php?mod=forumdisplay&fid=983,"1,516",598
108,汉铁高中,"1,467",535
109,团品审核,"1,437",186
110,博奥教育,"1,409",851
111,法律在线,"1,395","1,150"
112,小学学业,"1,387","1,084"
113,http://www.jz100.com/forum.php?mod=forumdisplay&fid=807,"1,383",887
114,武大外校初中,"1,320",535
115,十四中学,"1,256",658
116,http://www.jz100.com/forum.php?mod=forumdisplay&fid=724,"1,240",704
117,北京理工大学,"1,221",733
118,初中政史地,"1,196",400
119,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1102,"1,189",505
120,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1040,"1,074",443
121,版主交流,"1,055",398
122,初中综合,"1,046",697
123,尖锋教育,"1,017",714
124,育才一小,"1,006",471
125,水果湖二小,"1,002",395
126,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1025,996,421
127,留学论坛,972,666
128,生活杂谈,940,557
129,佳友100,906,393
130,http://www.jz100.com/forum.php?mod=forumdisplay&fid=895,896,119
131,武汉十一高中,861,428
132,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1003,851,325
133,http://www.jz100.com/forum.php?mod=forumdisplay&fid=465,841,290
134,http://www.jz100.com/forum.php?mod=forumdisplay&fid=870,828,505
135,光谷一小,817,300
136,水果湖一小,767,474
137,专题版块,759,566
138,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1032,729,498
139,武汉一初中,718,265
140,数码通讯,707,302
141,前程1对1,691,433
142,http://www.jz100.com/forum.php?mod=forumdisplay&fid=961,674,558
143,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1023,672,446
144,武汉11初中,665,364
145,美加外小,651,500
146,女性频道,648,448
147,http://www.jz100.com/forum.php?mod=forumdisplay&fid=822,614,309
148,明心数学,592,233
149,http://www.jz100.com/forum.php?mod=forumdisplay&fid=819,575,91
150,学前论坛,571,411
151,初中化学,526,219
152,育才二小,521,179
153,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1002,511,391
154,付家坡小学,493,191
155,武汉中学初中部,492,149
156,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1095,481,175
157,http://www.jz100.com/forum.php?mod=forumdisplay&fid=914,481,378
158,初中美加分校,435,154
159,http://www.jz100.com/forum.php?mod=forumdisplay&fid=753,432,165
160,初中华中科大附中,432,231
161,如水工作室,425,197
162,武汉神龙小学,417,234
163,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1094,408,180
164,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1004,403,253
165,http://www.jz100.com/forum.php?mod=forumdisplay&fid=969,400,62
166,http://www.jz100.com/forum.php?mod=forumdisplay&fid=480,380,214
167,新东方学校,363,243
168,中职学校,363,129
169,武大附小（综合）,355,73
170,http://www.jz100.com/forum.php?mod=forumdisplay&fid=779,355,155
171,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1093,351,59
172,http://www.jz100.com/forum.php?mod=forumdisplay&fid=732,348,217
173,解放中学,338,109
174,中山路小学,338,171
175,初中南湖中学,331,126
176,大学论坛,329,242
177,卓刀泉中学,329,104
178,http://www.jz100.com/forum.php?mod=forumdisplay&fid=466,327,146
179,http://www.jz100.com/forum.php?mod=forumdisplay&fid=765,319,159
180,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1060,314,198
181,夏老师答疑,312,56
182,http://www.jz100.com/forum.php?mod=forumdisplay&fid=988,310,60
183,高中武汉睿升学校,307,134
184,http://www.jz100.com/forum.php?mod=forumdisplay&fid=950,306,163
185,待审核版块,302,179
186,金币商城,288,133
187,水果湖一中,284,104
188,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1021,277,140
189,http://www.jz100.com/forum.php?mod=forumdisplay&fid=569,269,42
190,http://www.jz100.com/forum.php?mod=forumdisplay&fid=504,265,143
191,武大附中,264,82
192,梅苑十四初中,262,159
193,http://www.jz100.com/forum.php?mod=forumdisplay&fid=1009,256,162
194,高中试题汇总,255,148
195,初中粮道街中学,252,96
196,高中国际部,251,170
197,佳儿佳女,249,48
198,高中其他,247,124
199,武汉十五中,246,143
200,初中鲁巷中学,243,129
201,沌口一初,240,93
202,http://www.jz100.com/forum.php?mod=forumdisplay&fid=840,240,197
203,国才数学,235,114
204,初中常青第一学校,232,70
